Location,Year,Series,Series Code,Permits
Putnam County,2021,Units in Single-Family Structures,2,486
Putnam County,2021,Units in All Multi-Family Structures,3,98
Rhea County,2021,Total Units,1,122
Rhea County,2021,Units in Single-Family Structures,2,120
Rhea County,2021,Units in All Multi-Family Structures,3,2
Roane County,2021,Total Units,1,151
Roane County,2021,Units in Single-Family Structures,2,151
Roane County,2021,Units in All Multi-Family Structures,3,0
Robertson County,2021,Total Units,1,937
Robertson County,2021,Units in Single-Family Structures,2,905
Robertson County,2021,Units in All Multi-Family Structures,3,32
Rutherford County,2021,Total Units,1,3963
Rutherford County,2021,Units in Single-Family Structures,2,3488
Rutherford County,2021,Units in All Multi-Family Structures,3,475
Scott County,2021,Total Units,1,8
Scott County,2021,Units in Single-Family Structures,2,8
Scott County,2021,Units in All Multi-Family Structures,3,0
Sequatchie County,2021,Total Units,1,11
Sequatchie County,2021,Units in Single-Family Structures,2,11
Sequatchie County,2021,Units in All Multi-Family Structures,3,0
Sevier County,2021,Total Units,1,1069
Sevier County,2021,Units in Single-Family Structures,2,1063
Sevier County,2021,Units in All Multi-Family Structures,3,6
Shelby County,2021,Total Units,1,2059
Shelby County,2021,Units in Single-Family Structures,2,1142
Shelby County,2021,Units in All Multi-Family Structures,3,917
Smith County,2021,Total Units,1,124
Smith County,2021,Units in Single-Family Structures,2,118
Smith County,2021,Units in All Multi-Family Structures,3,6
Stewart County,2021,Total Units,1,3
Stewart County,2021,Units in Single-Family Structures,2,3
Stewart County,2021,Units in All Multi-Family Structures,3,0
Sullivan County,2021,Total Units,1,374
Sullivan County,2021,Units in Single-Family Structures,2,365
Sullivan County,2021,Units in All Multi-Family Structures,3,9
Sumner County,2021,Total Units,1,1842
Sumner County,2021,Units in Single-Family Structures,2,1775
Sumner County,2021,Units in All Multi-Family Structures,3,67
Tipton County,2021,Total Units,1,263
Tipton County,2021,Units in Single-Family Structures,2,263
Tipton County,2021,Units in All Multi-Family Structures,3,0
Trousdale County,2021,Total Units,1,105
Trousdale County,2021,Units in Single-Family Structures,2,105
Trousdale County,2021,Units in All Multi-Family Structures,3,0
Unicoi County,2021,Total Units,1,7
Unicoi County,2021,Units in Single-Family Structures,2,7
Unicoi County,2021,Units in All Multi-Family Structures,3,0
Union County,2021,Total Units,1,123
Union County,2021,Units in Single-Family Structures,2,123
Union County,2021,Units in All Multi-Family Structures,3,0
Van Buren County,2021,Total Units,1,2
Van Buren County,2021,Units in Single-Family Structures,2,2
Van Buren County,2021,Units in All Multi-Family Structures,3,0
Warren County,2021,Total Units,1,316
Warren County,2021,Units in Single-Family Structures,2,154
Warren County,2021,Units in All Multi-Family Structures,3,162
Washington County,2021,Total Units,1,632
Washington County,2021,Units in Single-Family Structures,2,579
Washington County,2021,Units in All Multi-Family Structures,3,53
Wayne County,2021,Total Units,1,0
Wayne County,2021,Units in Single-Family Structures,2,0
Wayne County,2021,Units in All Multi-Family Structures,3,0
Weakley County,2021,Total Units,1,64
Weakley County,2021,Units in Single-Family Structures,2,64
Weakley County,2021,Units in All Multi-Family Structures,3,0
Location,Year,Series,Series Code,Permits
White County,2021,Total Units,1,192
White County,2021,Units in Single-Family Structures,2,192
White County,2021,Units in All Multi-Family Structures,3,0
Williamson County,2021,Total Units,1,2980
Williamson County,2021,Units in Single-Family Structures,2,2073
Williamson County,2021,Units in All Multi-Family Structures,3,907
Wilson County,2021,Total Units,1,2371
Wilson County,2021,Units in Single-Family Structures,2,2371
Wilson County,2021,Units in All Multi-Family Structures,3,0
ADAMS,2021,Total Units,1,0
ADAMS,2021,Units in Single-Family Structures,2,0
ADAMS,2021,Units in All Multi-Family Structures,3,0
ADAMSVILLE TOWN,2021,Total Units,1,1
ADAMSVILLE TOWN,2021,Units in Single-Family Structures,2,1
ADAMSVILLE TOWN,2021,Units in All Multi-Family Structures,3,0
ALAMO TOWN,2021,Total Units,1,0
ALAMO TOWN,2021,Units in Single-Family Structures,2,0
ALAMO TOWN,2021,Units in All Multi-Family Structures,3,0
ALCOA,2021,Total Units,1,192
ALCOA,2021,Units in Single-Family Structures,2,58
ALCOA,2021,Units in All Multi-Family Structures,3,134
ALEXANDRIA TOWN,2021,Total Units,1,0
ALEXANDRIA TOWN,2021,Units in Single-Family Structures,2,0
ALEXANDRIA TOWN,2021,Units in All Multi-Family Structures,3,0
ALGOOD TOWN,2021,Total Units,1,3
ALGOOD TOWN,2021,Units in Single-Family Structures,2,3
ALGOOD TOWN,2021,Units in All Multi-Family Structures,3,0
ALLARDT,2021,Total Units,1,0
ALLARDT,2021,Units in Single-Family Structures,2,0
ALLARDT,2021,Units in All Multi-Family Structures,3,0
ANDERSON COUNTY UNINCORPORATED AREA,2021,Total Units,1,83
ANDERSON COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,83
ANDERSON COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
ARDMORE,2021,Total Units,1,7
ARDMORE,2021,Units in Single-Family Structures,2,7
ARDMORE,2021,Units in All Multi-Family Structures,3,0
ARLINGTON TOWN,2021,Total Units,1,0
ARLINGTON TOWN,2021,Units in Single-Family Structures,2,0
ARLINGTON TOWN,2021,Units in All Multi-Family Structures,3,0
ASHLAND CITY TOWN,2021,Total Units,1,193
ASHLAND CITY TOWN,2021,Units in Single-Family Structures,2,46
ASHLAND CITY TOWN,2021,Units in All Multi-Family Structures,3,147
ATHENS,2021,Total Units,1,38
ATHENS,2021,Units in Single-Family Structures,2,30
ATHENS,2021,Units in All Multi-Family Structures,3,8
ATOKA TOWN,2021,Total Units,1,96
ATOKA TOWN,2021,Units in Single-Family Structures,2,96
ATOKA TOWN,2021,Units in All Multi-Family Structures,3,0
BAILEYTON TOWN,2021,Total Units,1,5
BAILEYTON TOWN,2021,Units in Single-Family Structures,2,5
BAILEYTON TOWN,2021,Units in All Multi-Family Structures,3,0
BANEBERRY,2021,Total Units,1,2
BANEBERRY,2021,Units in Single-Family Structures,2,2
BANEBERRY,2021,Units in All Multi-Family Structures,3,0
BARTLETT,2021,Total Units,1,58
BARTLETT,2021,Units in Single-Family Structures,2,44
BARTLETT,2021,Units in All Multi-Family Structures,3,14
BARTLETT TOWN. . . . . . . . . . .,2021,Total Units,1,0
BARTLETT TOWN. . . . . . . . . . .,2021,Units in Single-Family Structures,2,0
BARTLETT TOWN. . . . . . . . . . .,2021,Units in All Multi-Family Structures,3,0
BAXTER TOWN,2021,Total Units,1,96
BAXTER TOWN,2021,Units in Single-Family Structures,2,96
BAXTER TOWN,2021,Units in All Multi-Family Structures,3,0
BEAN STATION,2021,Total Units,1,6
BEAN STATION,2021,Units in Single-Family Structures,2,6
BEAN STATION,2021,Units in All Multi-Family Structures,3,0
BEDFORD COUNTY UNINCORPORATED AREA,2021,Total Units,1,173
BEDFORD COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,173
BEDFORD COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
BELL BUCKLE TOWN,2021,Total Units,1,2
BELL BUCKLE TOWN,2021,Units in Single-Family Structures,2,2
BELL BUCKLE TOWN,2021,Units in All Multi-Family Structures,3,0
BELLE MEADE,2021,Total Units,1,14
BELLE MEADE,2021,Units in Single-Family Structures,2,14
BELLE MEADE,2021,Units in All Multi-Family Structures,3,0
BELLS,2021,Total Units,1,0
BELLS,2021,Units in Single-Family Structures,2,0
BELLS,2021,Units in All Multi-Family Structures,3,0
BERRY HILL,2021,Total Units,1,0
BERRY HILL,2021,Units in Single-Family Structures,2,0
BERRY HILL,2021,Units in All Multi-Family Structures,3,0
BETHEL SPRINGS TOWN,2021,Total Units,1,1
BETHEL SPRINGS TOWN,2021,Units in Single-Family Structures,2,1
BETHEL SPRINGS TOWN,2021,Units in All Multi-Family Structures,3,0
BLAINE,2021,Total Units,1,0
BLAINE,2021,Units in Single-Family Structures,2,0
BLAINE,2021,Units in All Multi-Family Structures,3,0
BLOUNT COUNTY UNINCORPORATED AREA,2021,Total Units,1,566
BLOUNT COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,566
BLOUNT COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
BLUFF CITY,2021,Total Units,1,0
BLUFF CITY,2021,Units in Single-Family Structures,2,0
BLUFF CITY,2021,Units in All Multi-Family Structures,3,0
BOLIVAR,2021,Total Units,1,4
BOLIVAR,2021,Units in Single-Family Structures,2,0
BOLIVAR,2021,Units in All Multi-Family Structures,3,4
BRADEN TOWN,2021,Total Units,1,0
BRADEN TOWN,2021,Units in Single-Family Structures,2,0
BRADEN TOWN,2021,Units in All Multi-Family Structures,3,0
BRADFORD TOWN,2021,Total Units,1,0
BRADFORD TOWN,2021,Units in Single-Family Structures,2,0
BRADFORD TOWN,2021,Units in All Multi-Family Structures,3,0
BRADLEY COUNTY UNINCORPORATED AREA,2021,Total Units,1,265
BRADLEY COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,265
BRADLEY COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
BRENTWOOD,2021,Total Units,1,147
BRENTWOOD,2021,Units in Single-Family Structures,2,147
BRENTWOOD,2021,Units in All Multi-Family Structures,3,0
BRIGHTON TOWN,2021,Total Units,1,6
BRIGHTON TOWN,2021,Units in Single-Family Structures,2,6
BRIGHTON TOWN,2021,Units in All Multi-Family Structures,3,0
BRISTOL  TN,2021,Total Units,1,27
BRISTOL  TN,2021,Units in Single-Family Structures,2,27
BRISTOL  TN,2021,Units in All Multi-Family Structures,3,0
BROWNSVILLE,2021,Total Units,1,0
BROWNSVILLE,2021,Units in Single-Family Structures,2,0
BROWNSVILLE,2021,Units in All Multi-Family Structures,3,0
BRUCETON TOWN,2021,Total Units,1,2
BRUCETON TOWN,2021,Units in Single-Family Structures,2,2
BRUCETON TOWN,2021,Units in All Multi-Family Structures,3,0
BULLS GAP TOWN,2021,Total Units,1,0
BULLS GAP TOWN,2021,Units in Single-Family Structures,2,0
BULLS GAP TOWN,2021,Units in All Multi-Family Structures,3,0
BURNS TOWN,2021,Total Units,1,51
BURNS TOWN,2021,Units in Single-Family Structures,2,51
BURNS TOWN,2021,Units in All Multi-Family Structures,3,0
CAMDEN,2021,Total Units,1,4
CAMDEN,2021,Units in Single-Family Structures,2,4
CAMDEN,2021,Units in All Multi-Family Structures,3,0
CAMPBELL COUNTY,2021,Total Units,1,0
CAMPBELL COUNTY,2021,Units in Single-Family Structures,2,0
CAMPBELL COUNTY,2021,Units in All Multi-Family Structures,3,0
CAMPBELL COUNTY UNINCORPORATED AREA,2021,Total Units,1,379
CAMPBELL COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,379
CAMPBELL COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CARTER COUNTY UNINCORPORATED AREA,2021,Total Units,1,179
CARTER COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,179
CARTER COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CARTHAGE TOWN,2021,Total Units,1,9
CARTHAGE TOWN,2021,Units in Single-Family Structures,2,9
CARTHAGE TOWN,2021,Units in All Multi-Family Structures,3,0
CARYVILLE TOWN,2021,Total Units,1,1
CARYVILLE TOWN,2021,Units in Single-Family Structures,2,1
CARYVILLE TOWN,2021,Units in All Multi-Family Structures,3,0
CELINA TOWN,2021,Total Units,1,0
CELINA TOWN,2021,Units in Single-Family Structures,2,0
CELINA TOWN,2021,Units in All Multi-Family Structures,3,0
CENTERVILLE TOWN,2021,Total Units,1,5
CENTERVILLE TOWN,2021,Units in Single-Family Structures,2,5
CENTERVILLE TOWN,2021,Units in All Multi-Family Structures,3,0
CHAPEL HILL TOWN,2021,Total Units,1,0
CHAPEL HILL TOWN,2021,Units in Single-Family Structures,2,0
CHAPEL HILL TOWN,2021,Units in All Multi-Family Structures,3,0
CHARLESTON,2021,Total Units,1,0
CHARLESTON,2021,Units in Single-Family Structures,2,0
CHARLESTON,2021,Units in All Multi-Family Structures,3,0
CHARLOTTE TOWN,2021,Total Units,1,0
CHARLOTTE TOWN,2021,Units in Single-Family Structures,2,0
CHARLOTTE TOWN,2021,Units in All Multi-Family Structures,3,0
CHATTANOOGA,2021,Total Units,1,1232
CHATTANOOGA,2021,Units in Single-Family Structures,2,575
CHATTANOOGA,2021,Units in All Multi-Family Structures,3,657
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Total Units,1,100
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,100
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CHURCH HILL TOWN,2021,Total Units,1,12
CHURCH HILL TOWN,2021,Units in Single-Family Structures,2,12
CHURCH HILL TOWN,2021,Units in All Multi-Family Structures,3,0
CLAIBORNE COUNTY UNINCORPORATED AREA,2021,Total Units,1,62
CLAIBORNE COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,62
CLAIBORNE COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CLARKSVILLE,2021,Total Units,1,3265
CLARKSVILLE,2021,Units in Single-Family Structures,2,1452
CLARKSVILLE,2021,Units in All Multi-Family Structures,3,1813
CLAY COUNTY UNINCORPORATED AREA,2021,Total Units,1,27
CLAY COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,27
CLAY COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CLEVELAND,2021,Total Units,1,278
CLEVELAND,2021,Units in Single-Family Structures,2,253
CLEVELAND,2021,Units in All Multi-Family Structures,3,25
CLIFTON,2021,Total Units,1,0
CLIFTON,2021,Units in Single-Family Structures,2,0
CLIFTON,2021,Units in All Multi-Family Structures,3,0
CLINTON,2021,Total Units,1,68
CLINTON,2021,Units in Single-Family Structures,2,62
CLINTON,2021,Units in All Multi-Family Structures,3,6
COFFEE COUNTY UNINCORPORATED AREA,2021,Total Units,1,0
COFFEE COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,0
COFFEE COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
COLLEGEDALE,2021,Total Units,1,32
COLLEGEDALE,2021,Units in Single-Family Structures,2,32
COLLEGEDALE,2021,Units in All Multi-Family Structures,3,0
COLLIERVILLE TOWN,2021,Total Units,1,271
COLLIERVILLE TOWN,2021,Units in Single-Family Structures,2,271
COLLIERVILLE TOWN,2021,Units in All Multi-Family Structures,3,0
COLLINWOOD,2021,Total Units,1,0
COLLINWOOD,2021,Units in Single-Family Structures,2,0
COLLINWOOD,2021,Units in All Multi-Family Structures,3,0
COLUMBIA,2021,Total Units,1,1212
COLUMBIA,2021,Units in Single-Family Structures,2,796
COLUMBIA,2021,Units in All Multi-Family Structures,3,416
COOKEVILLE,2021,Total Units,1,248
COOKEVILLE,2021,Units in Single-Family Structures,2,150
COOKEVILLE,2021,Units in All Multi-Family Structures,3,98
COOPERTOWN TOWN,2021,Total Units,1,34
COOPERTOWN TOWN,2021,Units in Single-Family Structures,2,34
COOPERTOWN TOWN,2021,Units in All Multi-Family Structures,3,0
COPPERHILL,2021,Total Units,1,0
COPPERHILL,2021,Units in Single-Family Structures,2,0
COPPERHILL,2021,Units in All Multi-Family Structures,3,0
CORNERSVILLE TOWN,2021,Total Units,1,0
CORNERSVILLE TOWN,2021,Units in Single-Family Structures,2,0
CORNERSVILLE TOWN,2021,Units in All Multi-Family Structures,3,0
COVINGTON,2021,Total Units,1,0
COVINGTON,2021,Units in Single-Family Structures,2,0
COVINGTON,2021,Units in All Multi-Family Structures,3,0
COWAN,2021,Total Units,1,6
COWAN,2021,Units in Single-Family Structures,2,6
COWAN,2021,Units in All Multi-Family Structures,3,0
CROCKETT COUNTY,2021,Total Units,1,36
CROCKETT COUNTY,2021,Units in Single-Family Structures,2,36
CROCKETT COUNTY,2021,Units in All Multi-Family Structures,3,0
CROSS PLAINS,2021,Total Units,1,12
CROSS PLAINS,2021,Units in Single-Family Structures,2,12
CROSS PLAINS,2021,Units in All Multi-Family Structures,3,0
CROSSVILLE,2021,Total Units,1,477
CROSSVILLE,2021,Units in Single-Family Structures,2,477
CROSSVILLE,2021,Units in All Multi-Family Structures,3,0
CUMBERLAND CITY TOWN,2021,Total Units,1,0
CUMBERLAND CITY TOWN,2021,Units in Single-Family Structures,2,0
CUMBERLAND CITY TOWN,2021,Units in All Multi-Family Structures,3,0
CUMBERLAND GAP TOWN,2021,Total Units,1,0
CUMBERLAND GAP TOWN,2021,Units in Single-Family Structures,2,0
CUMBERLAND GAP TOWN,2021,Units in All Multi-Family Structures,3,0
DANDRIDGE TOWN,2021,Total Units,1,27
DANDRIDGE TOWN,2021,Units in Single-Family Structures,2,15
DANDRIDGE TOWN,2021,Units in All Multi-Family Structures,3,12
DAYTON,2021,Total Units,1,26
DAYTON,2021,Units in Single-Family Structures,2,24
DAYTON,2021,Units in All Multi-Family Structures,3,2
DE KALB COUNTY UNINCORPORATED AREA,2021,Total Units,1,0
DE KALB COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,0
DE KALB COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
DECATUR TOWN,2021,Total Units,1,5
DECATUR TOWN,2021,Units in Single-Family Structures,2,5
DECATUR TOWN,2021,Units in All Multi-Family Structures,3,0
DECHERD TOWN,2021,Total Units,1,28
DECHERD TOWN,2021,Units in Single-Family Structures,2,18
DECHERD TOWN,2021,Units in All Multi-Family Structures,3,10
DEKALB COUNTY UNINCORPORATED AREA,2021,Total Units,1,94
DEKALB COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,94
DEKALB COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
DICKSON,2021,Total Units,1,230
DICKSON,2021,Units in Single-Family Structures,2,86
DICKSON,2021,Units in All Multi-Family Structures,3,144
DICKSON COUNTY UNINCORPORATED AREA,2021,Total Units,1,290
DICKSON COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,290
DICKSON COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
